CBSA,CBSA Code,Date,AQI,Category,Defining Parameter,Defining Site,Number of Sites Reporting,Number of Sites Reporting Min-Max,Number of Sites Reporting Z-score,Year,Month,Day,Day of Week
80,80,2022-03-12,41,0,2,37-179-0003,6,1.0000000000000002,2.1179124026462404,2022,3,12,5
247,247,2022-04-21,49,0,4,42-071-0012,2,0.2,-0.18034812328358962,2022,4,21,3
262,262,2022-06-15,67,2,6,49-005-0007,2,0.2,-0.18034812328358962,2022,6,15,2
416,421,2022-02-16,45,0,2,04-003-8001,3,0.4000000000000001,0.39421700819886785,2022,2,16,2
222,222,2022-01-19,13,0,3,29-097-0003,1,0.0,-0.7549132547660471,2022,1,19,2
292,292,2022-05-21,36,0,2,38-101-0003,1,0.0,-0.7549132547660471,2022,5,21,5
379,381,2022-04-05,157,3,3,56-037-0868,6,1.0000000000000002,2.1179124026462404,2022,4,5,1
271,271,2022-04-04,39,0,2,06-039-2010,1,0.0,-0.7549132547660471,2022,4,4,0
93,93,2022-05-18,54,2,4,19-045-0019,2,0.2,-0.18034812328358962,2022,5,18,2
4,4,2022-01-25,38,0,4,39-153-0017,1,0.0,-0.7549132547660471,2022,1,25,1
242,241,2022-01-20,30,0,2,18-015-0002,2,0.2,-0.18034812328358962,2022,1,20,3
47,47,2022-06-27,60,2,4,38-015-0003,2,0.2,-0.18034812328358962,2022,6,27,0
234,234,2022-03-12,39,0,2,37-107-0004,1,0.0,-0.7549132547660471,2022,3,12,5
50,50,2022-04-14,17,0,4,18-105-0003,2,0.2,-0.18034812328358962,2022,4,14,3
203,203,2022-07-19,56,2,4,05-051-0003,1,0.0,-0.7549132547660471,2022,7,19,1
307,307,2022-07-23,44,0,2,18-035-0010,1,0.0,-0.7549132547660471,2022,7,23,5
94,94,2022-04-23,10,0,4,16-055-0015,1,0.0,-0.7549132547660471,2022,4,23,5
31,31,2022-04-06,45,0,2,23-019-4008,2,0.2,-0.18034812328358962,2022,4,6,2
350,350,2022-06-19,78,2,4,72-113-0004,1,0.0,-0.7549132547660471,2022,6,19,6
130,130,2022-06-23,54,2,2,37-145-0003,2,0.2,-0.18034812328358962,2022,6,23,3
337,337,2022-05-01,35,0,6,12-005-0006,1,0.0,-0.7549132547660471,2022,5,1,6
121,121,2022-10-28,43,0,4,19-153-0030,2,0.2,-0.18034812328358962,2022,10,28,4
347,347,2022-01-21,51,2,4,55-043-0009,1,0.0,-0.7549132547660471,2022,1,21,4
179,179,2022-01-16,38,0,4,08-123-0006,3,0.4000000000000001,0.39421700819886785,2022,1,16,6
458,458,2022-06-03,13,0,4,36-065-2001,1,0.0,-0.7549132547660471,2022,6,3,4
404,409,2022-09-21,4,0,1,42-015-0011,1,0.0,-0.7549132547660471,2022,9,21,2
419,424,2022-05-22,35,0,6,21-199-0003,1,0.0,-0.7549132547660471,2022,5,22,6
423,428,2022-08-27,44,0,2,45-083-0009,2,0.2,-0.18034812328358962,2022,8,27,5
171,171,2022-09-20,2,0,6,42-001-0001,1,0.0,-0.7549132547660471,2022,9,20,1
83,83,2022-02-15,45,0,2,56-021-0100,1,0.0,-0.7549132547660471,2022,2,15,1
411,416,2022-04-18,33,0,2,55-117-0009,2,0.2,-0.18034812328358962,2022,4,18,0
483,483,2022-05-09,44,0,2,55-127-0006,1,0.0,-0.7549132547660471,2022,5,9,0
34,34,2022-08-19,32,0,4,22-063-0002,6,1.0000000000000002,2.1179124026462404,2022,8,19,4
14,14,2022-03-25,18,0,6,02-020-0018,4,0.6000000000000001,0.9687821396813253,2022,3,25,4
139,138,2022-03-23,37,0,2,21-093-0006,1,0.0,-0.7549132547660471,2022,3,23,2
451,451,2022-01-06,45,0,4,04-019-1113,6,1.0000000000000002,2.1179124026462404,2022,1,6,3
199,199,2022-05-26,20,0,4,15-001-1012,6,1.0000000000000002,2.1179124026462404,2022,5,26,3
191,191,2022-05-12,42,0,6,42-043-1100,3,0.4000000000000001,0.39421700819886785,2022,5,12,3
457,457,2022-04-11,29,0,4,15-003-0010,3,0.4000000000000001,0.39421700819886785,2022,4,11,0
438,438,2022-07-23,48,0,2,36-067-1015,2,0.2,-0.18034812328358962,2022,7,23,5
121,121,2022-09-14,51,2,2,19-153-1579,3,0.4000000000000001,0.39421700819886785,2022,9,14,2
437,437,2022-03-29,44,0,2,13-055-0001,1,0.0,-0.7549132547660471,2022,3,29,1
